SetNumber,URL,Description,DateAdded,DateModified
"9632-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4499644.pdf","BI. FREEWHEELING 3A 9632","01/01/2010 00:00:00","08/02/2008 00:00:00"
"9632-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4499646.pdf","BI. FREEWHEELING 3B 9632","01/01/2010 00:00:00","08/02/2008 00:00:00"
"9632-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4499647.pdf","BI. HAMMER 4A 9632","01/01/2010 00:00:00","08/02/2008 00:00:00"
"9632-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4499648.pdf","BI. HAMMER 4B 9632","01/01/2010 00:00:00","08/02/2008 00:00:00"
"9632-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4499660.pdf","BI. LANDYACHT 9A 9632","01/01/2010 00:00:00","08/02/2008 00:00:00"
"9632-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4499661.pdf","BI. LANDYACHT 9B 9632","01/01/2010 00:00:00","08/02/2008 00:00:00"
"9632-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4536491.pdf","BI. MAGNACIRCUS 12A 9632","01/01/2010 00:00:00","08/02/2008 00:00:00"
"9632-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4536493.pdf","BI. MAGNACIRCUS 12B 9632","01/01/2010 00:00:00","08/02/2008 00:00:00"
"9632-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4536488.pdf","BI. MAGNASEARCH 11A 9632","01/01/2010 00:00:00","08/02/2008 00:00:00"
"9632-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4536489.pdf","BI. MAGNASEARCH 11B 9632","01/01/2010 00:00:00","08/02/2008 00:00:00"
"9632-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4499670.pdf","BI. PRINCIPLES 9632","01/01/2010 00:00:00","08/02/2008 00:00:00"
"9632-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4499639.pdf","BI. SWEEPER 1A 9632","01/01/2010 00:00:00","08/02/2008 00:00:00"
"9632-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4499640.pdf","BI. SWEEPER 1B 9632","01/01/2010 00:00:00","08/02/2008 00:00:00"
"9632-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4499650.pdf","BI. TRUNDLE 5A 9632","01/01/2010 00:00:00","08/02/2008 00:00:00"
"9632-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4499651.pdf","BI. TRUNDLE 5B 9632","01/01/2010 00:00:00","08/02/2008 00:00:00"
"9632-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4499653.pdf","BI. WEIGHT 6A 9632","01/01/2010 00:00:00","08/02/2008 00:00:00"
"9632-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4499654.pdf","BI. WEIGHT 6B 9632","01/01/2010 00:00:00","08/02/2008 00:00:00"
"9632-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4499657.pdf","BI. WINDMILL 8A 9632","01/01/2010 00:00:00","08/02/2008 00:00:00"
"9632-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4499659.pdf","BI. WINDMILL 8B 9632","01/01/2010 00:00:00","08/02/2008 00:00:00"
"9641-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4558339.pdf","BI 6003/16 BOOK 5","25/09/2020 00:00:00","02/04/2013 00:00:00"
"9641-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4558340.pdf","BI 6003/16 BOOK 6","25/09/2020 00:00:00","02/04/2013 00:00:00"
"9641-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4558335.pdf","BI 6003/36 BOOK 1","25/09/2020 00:00:00","02/04/2013 00:00:00"
"9641-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4558336.pdf","BI 6003/36 BOOK 2","25/09/2020 00:00:00","02/04/2013 00:00:00"
"9641-1","https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4558338.pdf","BI 6003/36 BOOK 4","25/09/2020 00:00:00","02/04/2013 00:00:00"
